Geocódigos,Años,Total,Gasolina,Diesel,Alternativos,Electrificados
EU27_2020,2013,112406494,67795426,36683521,7646071,281476
EU27_2020,2014,157189980,76912591,71752025,8073775,451589
EU27_2020,2015,140643043,66433065,68391653,4991461,826864
EU27_2020,2016,146148114,68636414,71210778,5201638,1099284
EU27_2020,2017,197872420,100676997,90375941,5083024,1736458
EU27_2020,2018,207371682,105913653,93734353,5316846,2406830
EU27_2020,2019,210802665,107976138,93922936,5543610,3359981
EU27_2020,2020,212921424,108248920,93504680,5833701,5334123
EU27_2020,2021,214956690,107837582,92310476,6087009,8721623
EU27_2020,2022,223002089,110968329,93169033,6435036,12429691
