GEO_(Codes),TIME,Total_(con_informativos),Total_(sin_informativos),Energía_(con_informativos),Energía,Combustión_por_sector,Combustión_en_las_industrias_energéticas,Combustión_en_manufactura_y_construcción,Combustión_en_el_transporte,Combustión_en_la_aviación_nacional,Combustión_en_el_transporte_por_carretera,Combustión_en_automóviles,Combustión_en_camiones_ligeros,Combustión_en_camiones_pesados_​​y_autobuses,Combustión_en_motocicletas,Combustión_en_otros_transportes_por_carretera,Combustión_en_ferrocarriles,Combustión_en_la_navegación_interior,Combustión_en_otros_transportes,Otros_sectores_de_combustión,Otros_sectores_de_combustión_n.c.p.,Combustibles__emisiones_fugitivas,Ítems_informativos,Procesos_y_productos_industriales,Agricultura,Uso_del_suelo_y_silvicultura_(UTCUTS),Gestión_de_residuos,CO2_indirecto
EU27_2020,1990,5016828.81,4649770.44,4108258.15,3741199.78,3572188.74,1442246.9,721407.71,672182.73,11348.39,620116.66,389167.19,59329.37,162715.87,8503.13,401.1,12848.02,21728.07,6141.59,713922.78,22428.62,169011.05,367058.37,450551.75,483165.78,-217472.28,184583.12,7742.29
EU27_2020,1991,4821911.05,4444605.53,4069215.46,3691909.94,3536128.91,1409716.14,678277.58,680852.3,11336.73,629307.69,394759.81,60713.5,164948.31,8618.35,267.71,11398.6,22485.03,6324.25,748535.02,18747.87,155781.04,377305.52,419169.34,455098.05,-316931.49,187794.0,7565.69
EU27_2020,1992,4701342.86,4320714.82,3953458.91,3572830.87,3421824.83,1363222.85,639581.99,702853.18,11603.13,651585.34,407629.03,62197.38,172249.36,8960.97,548.59,11236.74,22296.37,6131.6,701094.02,15072.79,151006.04,380628.04,406060.96,434383.75,-289473.78,189545.26,7367.76
EU27_2020,1993,4629915.34,4226725.66,3917702.07,3514512.39,3364372.32,1311751.92,619343.91,706231.71,11418.36,657461.06,411071.63,64872.29,171946.57,9396.2,174.37,10691.37,21167.63,5493.29,714650.26,12394.52,150140.07,403189.68,396000.85,422919.61,-303318.69,189371.2,7240.31
EU27_2020,1994,4619588.06,4214004.13,3881198.97,3475615.04,3329642.1,1318365.0,617414.61,711670.29,11791.19,663285.15,413630.75,66934.73,173009.46,9537.33,172.88,10217.24,21342.32,5034.39,670792.63,11399.57,145972.94,405583.93,419550.75,417601.43,-294016.11,188156.07,7096.94
EU27_2020,1995,4655123.8,4241086.35,3929919.47,3515882.02,3370620.77,1319044.96,638255.89,724552.5,12735.29,675555.17,421762.38,68495.11,175172.3,9911.98,213.41,9886.79,20468.31,5906.94,678348.31,10419.11,145261.25,414037.45,430774.32,417485.66,-317482.77,187518.72,6908.4
EU27_2020,1996,4743966.9,4304232.58,4047568.95,3607834.63,3466549.63,1347692.67,629649.96,746587.44,13716.39,695553.73,432361.86,72107.77,181015.49,9914.12,154.5,9319.41,21451.92,6545.98,733239.79,9379.77,141285.0,439734.32,430091.94,418660.18,-345282.9,186126.93,6801.8
EU27_2020,1997,4704170.48,4240418.58,4000756.87,3537004.97,3391012.98,1312908.93,620521.47,756319.05,14598.76,705694.39,436781.55,74344.42,184181.39,10200.88,186.15,9028.23,20999.55,5998.12,691363.18,9900.35,145991.99,463751.9,434876.18,416541.18,-337877.07,183186.1,6687.21
EU27_2020,1998,4667054.25,4190637.45,3997379.05,3520962.25,3382777.75,1316028.68,595841.49,785471.28,15345.64,733467.73,451361.78,78481.88,192686.46,10794.13,143.48,8563.63,21950.11,6144.18,675184.92,10251.38,138184.49,476416.8,417962.45,414337.07,-348812.9,179602.65,6585.93
EU27_2020,1999,4586337.72,4102517.04,3954259.86,3470439.18,3334086.79,1278740.27,580718.9,802210.48,16156.48,750389.46,461508.99,81565.13,195929.75,11262.19,123.39,7933.72,21340.22,6390.6,663222.49,9194.65,136352.39,483820.68,399256.84,411903.78,-361543.74,176130.68,6330.3
