Geocódigos,Años,Total,Gasolina,Diesel,Alternativos,Electrificados
EU27_2020,2013,4917965,1759604,2783435,245374,129552
EU27_2020,2014,6057790,2176478,3477677,265381,138254
EU27_2020,2015,6745327,2618876,3664274,251576,210601
EU27_2020,2016,7525832,3175756,3882988,228004,239084
EU27_2020,2017,11835031,5755345,5424503,209789,445394
EU27_2020,2018,12028608,6575743,4582494,238348,632023
EU27_2020,2019,12584561,7260240,4071832,259613,992876
EU27_2020,2020,9514365,4554758,2761380,209355,1988872
EU27_2020,2021,9784311,3866914,1937736,272763,3706898
EU27_2020,2022,9360987,3373144,1537136,268103,4182604
