GEO_(Codes),Años,Total_(sin_informativos),Total_(con_informativos),Energía,Energía_(con_informativos),Combustión_en_las_industrias_energéticas,Combustión_por_sector,Combustión_en_manufactura_y_construcción,Combustión_en_el_transporte,Combustión_en_la_aviación_nacional,Combustión_en_el_transporte_por_carretera,Combustión_en_automóviles,Combustión_en_camiones_ligeros,Combustión_en_camiones_pesados_​​y_autobuses,Combustión_en_motocicletas,Combustión_en_otros_transportes_por_carretera,Combustión_en_ferrocarriles,Combustión_en_la_navegación_interior,Combustión_en_otros_transportes,Otros_sectores_de_combustión,Otros_sectores_de_combustión_n.c.p.,Combustibles__emisiones_fugitivas,Ítems_informativos,Procesos_y_productos_industriales,Agricultura,Uso_del_suelo_y_silvicultura_(UTCUTS),Gestión_de_residuos,CO2_indirecto
EU27_2020,1990,4649.77,5016.83,3741.2,4108.26,1442.25,3572.19,721.41,672.18,11.35,620.12,389.17,59.33,162.72,8.5,0.4,12.85,21.73,6.14,713.92,22.43,169.01,367.06,450.55,483.17,-217.47,184.58,7.74
EU27_2020,1991,4444.61,4821.92,3691.91,4069.22,1409.72,3536.14,678.28,680.85,11.34,629.31,394.76,60.71,164.95,8.62,0.27,11.4,22.49,6.32,748.54,18.75,155.78,377.31,419.17,455.1,-316.93,187.79,7.57
EU27_2020,1992,4320.71,4701.34,3572.83,3953.46,1363.22,3421.81,639.58,702.85,11.6,651.59,407.63,62.2,172.25,8.96,0.55,11.24,22.3,6.13,701.09,15.07,151.01,380.63,406.06,434.38,-289.47,189.55,7.37
EU27_2020,1993,4226.73,4629.92,3514.51,3917.7,1311.75,3364.36,619.34,706.23,11.42,657.46,411.07,64.87,171.95,9.4,0.17,10.69,21.17,5.49,714.65,12.39,150.14,403.19,396.0,422.92,-303.32,189.37,7.24
EU27_2020,1994,4214.0,4619.58,3475.62,3881.2,1318.36,3329.63,617.41,711.67,11.79,663.29,413.63,66.93,173.01,9.54,0.17,10.22,21.34,5.03,670.79,11.4,145.97,405.58,419.55,417.6,-294.02,188.16,7.1
EU27_2020,1995,4241.09,4655.12,3515.88,3929.91,1319.04,3370.62,638.26,724.55,12.74,675.56,421.76,68.5,175.17,9.91,0.21,9.89,20.47,5.91,678.35,10.42,145.26,414.03,430.77,417.49,-317.48,187.52,6.91
EU27_2020,1996,4304.23,4743.96,3607.83,4047.56,1347.69,3466.55,629.65,746.59,13.72,695.55,432.36,72.11,181.02,9.91,0.15,9.32,21.45,6.55,733.24,9.38,141.28,439.73,430.09,418.66,-345.28,186.13,6.8
EU27_2020,1997,4240.42,4704.17,3537.0,4000.75,1312.91,3391.01,620.52,756.32,14.6,705.69,436.78,74.34,184.18,10.2,0.19,9.03,21.0,6.0,691.36,9.9,145.99,463.75,434.88,416.54,-337.88,183.19,6.69
EU27_2020,1998,4190.64,4667.06,3520.96,3997.38,1316.03,3382.77,595.84,785.47,15.35,733.47,451.36,78.48,192.69,10.79,0.14,8.56,21.95,6.14,675.18,10.25,138.18,476.42,417.96,414.34,-348.81,179.6,6.59
EU27_2020,1999,4102.52,4586.34,3470.44,3954.26,1278.74,3334.08,580.72,802.21,16.16,750.39,461.51,81.57,195.93,11.26,0.12,7.93,21.34,6.39,663.22,9.19,136.35,483.82,399.26,411.9,-361.54,176.13,6.33
EU27_2020,2000,4141.95,4638.76,3449.01,3945.82,1304.81,3329.16,578.98,798.03,16.85,747.11,457.52,81.73,196.87,10.84,0.15,8.14,19.02,6.91,638.76,8.58,119.85,496.81,414.79,407.92,-310.77,174.78,6.23
EU27_2020,2001,4142.91,4653.8,3514.45,4025.34,1329.77,3398.26,567.44,812.15,16.37,762.36,464.75,86.12,199.95,11.23,0.31,7.18,19.49,6.75,680.8,8.1,116.2,510.89,402.45,406.22,-358.45,172.24,6.02
